,ratio,pvalue,tstat,sigma,MMDXY,MMDXZ,vae1_score,vae2_score,unenc_score,oldlower
105,5.0,0.9858311552926966,-2.1925795005705235,12.658522866407418,0.1889959156732801,0.20583180554505753,0.7798,0.8832,0.9203,-203.77350556630307
106,5.0,1.0,-12.687992072690221,12.616178875694676,0.14657953175143812,0.24644760849194347,0.8449,0.88,0.9203,-190.78551582576327
107,5.0,0.9999999999999992,-7.971915513751231,13.108163399459102,0.18980290658545762,0.25418740795082495,0.8369,0.8558,0.9203,-203.43720995616675
108,5.0,1.0,-14.261839819407525,12.10133912560202,0.11789064413840422,0.22250884920229785,0.8725,0.8845,0.9203,-175.5852016974645
109,5.0,1.0,-12.0326129426598,12.95020560461145,0.17067765652614775,0.25880397471522676,0.8591,0.8701,0.9203,-191.2489089634205
110,5.0,0.9999998283539843,-5.097982783814607,12.475603138178407,0.1636082918621985,0.20711056263035432,0.7624,0.8834,0.9203,-185.36494624479326
111,5.0,1.0,-12.962835941097635,12.887598986192287,0.16153968820568587,0.2581739289551632,0.7209,0.8789,0.9203,-195.63288487368186
112,5.0,0.5685304513790884,-0.1726340352983802,13.332209207923038,0.2315755988882332,0.23271905898032041,0.8398,0.8378,0.9203,-236.6068590855209
113,5.0,1.0,-9.655896070026879,13.12840243504413,0.19568050870667797,0.25795333293172384,0.8739,0.8698,0.9203,-213.921357467556
114,5.0,1.0,-11.95140763452425,13.055733255966125,0.18183570621231449,0.27090341928910777,0.882,0.865,0.9203,-205.03971029397943
115,5.0,0.41341529116595077,0.21876824778966347,12.757347059392833,0.19677036810093718,0.1950368050460708,0.7553,0.8603,0.9203,-207.21070496092003
116,5.0,1.0,-10.70881057681009,12.631197719375734,0.1532309547332661,0.24362988358569326,0.7847,0.8929,0.9203,-174.9273671220147
117,5.0,1.0,-10.312738099384088,12.741403298584927,0.15577872210646293,0.2394304681775672,0.7992,0.8761,0.9203,-195.01071472438804
118,5.0,0.9999999999999845,-7.593271033203318,12.632060236467149,0.16466063381645335,0.22458017843248113,0.8587,0.8784,0.9203,-191.13959769292703
119,5.0,1.0,-15.417419475271933,12.716386298892324,0.1508275536610828,0.25848553662793006,0.8829,0.8749,0.9203,-193.04276546595813
120,5.0,0.9952608496205155,-2.5943026617420895,12.385811757022047,0.16455754455212346,0.18637270774444092,0.7691,0.8907,0.9203,-177.74518825138912
121,5.0,1.0,-12.702539328234344,12.560553887859182,0.14118725073179839,0.25148618911084186,0.8348,0.8945,0.9203,-173.64381472356814
122,5.0,1.0,-10.551230585582834,12.682253586633262,0.1581608839723374,0.24410839665933715,0.8465,0.8822,0.9203,-190.37218343145994
123,5.0,0.999999907170629,-5.21315190523628,12.705278940201612,0.17141262018264902,0.21347933083173487,0.8752,0.8819,0.9203,-190.38285502539634
124,5.0,0.9999999993694515,-6.072276304243587,13.169627924159412,0.2031453152564312,0.24741640585741698,0.8732,0.8704,0.9203,-207.94842032932047
